0,1,2,3,4,5,6,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,care_sent,fairness_sent,loyalty_sent,authority_sent,sanctity_sent,moral_nonmoral_ratio,f_var,sent_var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Interview in person,not an outspoken atheist,recorded for general public,About atheists,FALSE,FALSE,0,0,0.093028367,0.012173913,0,0,0,0.01431863,-0.005482857,0,1,0.001647244,5.49E-05,,,About Christian preachers,FALSE,TRUE,0,0.176470588,0,0,0,0,-0.373666667,0,0,0,Christians,,About atheists,FALSE,FALSE,0,0,0.093028367,0.012173913,0,0,0,0.01431863,-0.005482857,0
2003,Interview in person,not an outspoken atheist,recorded for general public,About Christians,FALSE,FALSE,0.066613804,0.010217893,0.057125256,0,0,0.052531349,0.007118537,-0.040898653,0,0,2.666666667,0.001054051,0.001103149,,,About Christian preachers,TRUE,TRUE,0.118965716,0,0,0.078947368,0,-0.128071481,0,0,0.073981481,0,Christians,,About atheists,FALSE,FALSE,0.039824771,0.047138047,0.032921811,0,0,-0.018004333,0.054402381,0.016791667,0,0
2003,Interview in person,not an outspoken atheist,recorded for general public,About Christians,TRUE,FALSE,0.057800328,0,0.074527661,0.007590133,0.004524887,0.007048219,0,-0.002648321,0.011323529,0.003075588,1.789473684,0.001200145,3.09E-05,,,About Christians,FALSE,TRUE,0,0.066037736,0,0,0.068627451,0,-0.042798571,0,0,-0.048564286,Christians,,About atheists,FALSE,TRUE,0,0.0875,0.007417397,0,0,0,0.002907143,-0.18155,0,0
2003,Interview in person,not an outspoken atheist,recorded for general public,About other religious people,TRUE,FALSE,0.039005329,0.047194719,0,0.04952381,0,-0.045442222,0.023893429,0,-0.026009231,0,2.5,0.000629293,0.000715005,,,About Christians,TRUE,TRUE,0,0.071942446,0,0.064516129,0,0,0.0828375,0,0.027283333,0,Christians,,About atheists,TRUE,FALSE,0.111972956,0.018927445,0.021705426,0.061538462,0,-0.106102716,0.010908667,0.007843571,0.04154,0
2003,Interview in person,not an outspoken atheist,recorded for general public,About scientists,TRUE,FALSE,0.045785075,0.041400807,0.015160817,0,0.032320762,-0.039942987,0.043357054,0.058020185,0,-0.030820747,1.7,0.000364429,0.001901025,,,About Christians,FALSE,TRUE,0.036124795,0.046296296,0.064304462,0,0,0.041678788,-0.075268333,-0.192134694,0,0,Christians,,About atheists,TRUE,TRUE,0.058816834,0.01955459,0.047630486,0.020618557,0,-0.095687735,0.004391667,0.074461497,0.003223469,0
2006,q&a,random,general live event,About religious people,TRUE,TRUE,0.045566502,0,0,0.056743458,0.071428571,-0.024360811,0,0,0.124682353,0.029234375,2,0.001090288,0.00340921,,,About Christians,TRUE,TRUE,0.017409066,0.034331662,0.032391928,0.020835452,0.041527502,-0.000794555,-0.022551121,0.013166158,-0.000212086,-0.079249257,Christians,,About atheists,FALSE,FALSE,0,0,0.049809289,0,0,0,0,-0.024507883,0,0
2006,q&a,random,general live event,About scientists,TRUE,FALSE,0.031078828,0.03234887,0.050009331,0.004473902,0.008823529,0.007260231,0.010534216,-0.004443838,-6.51E-05,-0.010514216,1.214285714,0.000349705,7.31E-05,,,About Christian fundamentalists,TRUE,TRUE,0,0,0,0.059210526,0.042105263,0,0,0,0.025594444,-0.0160125,Christians,,About atheists,TRUE,FALSE,0,0,0.116109138,0,0,0,0,0.113105177,0,0
2006,q&a,random,rather atheist live event,About other religious people,FALSE,FALSE,0,0,0.136035313,0,0,0,0,-0.081888448,0,0,2,0.003701121,0.001341144,,,About Christians,FALSE,TRUE,0.018691589,0,0.048685571,0.015859031,0.014012739,-0.102687333,0,-0.005385641,0.009286667,0.024389091,Christians,,About atheists,FALSE,FALSE,0,0,0.12195122,0,0,0,0,-0.28234,0,0
2006,q&a,random,rather atheist live event,About other religious people,TRUE,FALSE,0,0,0,0.16194332,0,0,0,0,-0.037505,0,0.2,0.005245128,0.000281325,,,About Christians,TRUE,TRUE,0.055449331,0.027548209,0,0,0,0.207025,-0.12174875,0,0,0,Christians,,About atheists,TRUE,FALSE,0.036585366,0.017326733,0.06097561,0,0,-0.102079167,-0.000673214,0.14117,0,0
2006,q&a,random,rather atheist live event,About other religious people,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,,,About Christian preachers,TRUE,TRUE,0.021014493,0,0.059662691,0.036471673,0,0.042031034,0,-0.0072815,-0.000588889,0,Christians,,About atheists,FALSE,FALSE,0.039080597,0.080677465,0.023809524,0,0,-0.095410657,-0.048064376,0.002637908,0,0
2006,q&a,random,rather atheist live event,About religious people,TRUE,FALSE,0,0,0.020408163,0.10035387,0.055991627,0,0,-0.002261064,0.0569836,0.00403,1,0.001843521,0.000644528,,,About Christians,TRUE,TRUE,0.115151515,0.12962963,0,0,0.034990792,-0.199378947,0.0004,0,0,-0.021083333,Christians,,About atheists,TRUE,FALSE,0.050252907,0.023763876,0.010019392,0.024776774,0.011054422,-0.058653377,-0.024776546,-0.002543318,0.006542432,-0.013274176
2006,q&a,random,rather atheist live event,About religious people,TRUE,TRUE,0,0,0,0.065159574,0.075,0,0,0,-0.011312245,-0.089370833,2,0.001485457,0.001521924,,,About Christian fundamentalists,TRUE,TRUE,0.161073826,0,0,0,0,-0.478458333,0,0,0,0,Christians,,About atheists,TRUE,TRUE,0,0.249129257,0,0,0,0,0.278772692,0,0,0
2007,Discussion,atheist,recorded for general public,About atheists,FALSE,FALSE,0.039824771,0.047138047,0.032921811,0,0,-0.018004333,0.054402381,0.016791667,0,0,0.75,0.000504347,0.000749977,,,About Christians,TRUE,TRUE,0.043339254,0.0020908,0.051577967,0,0.051348929,-0.050491358,0.002268254,-0.000927166,0,0.019742371,Christians,,About nonreligious people,FALSE,FALSE,0,0,0.142857143,0,0,0,0,0.157714286,0,0
2007,Discussion,atheist,recorded for general public,About atheists,FALSE,TRUE,0,0.0875,0.007417397,0,0,0,0.002907143,-0.18155,0,0,2,0.001477351,0.00664655,,,About Christian fundamentalists,TRUE,TRUE,0.02486969,0.040047493,0.040506818,0.018136681,0.037131156,-0.015183359,-0.036478365,-0.00207178,-0.002531988,-0.022981061,Christians,,About nonreligious people,FALSE,TRUE,0.097513321,0,0,0,0.132478632,0.113605556,0,0,0,-0.075662097
2007,Discussion,atheist,recorded for general public,About atheists,TRUE,FALSE,0.111972956,0.018927445,0.021705426,0.061538462,0,-0.106102716,0.010908667,0.007843571,0.04154,0,10,0.001995686,0.00318604,,,About Christians,TRUE,TRUE,0,0.071357947,0.027571116,0.028169014,0.014012739,0,-0.001230162,-0.033098095,-0.0453516,-0.024389091,Christians,,About nonreligious people,TRUE,FALSE,0,0,0,0.166666667,0,0,0,0,-0.137577778,0
2007,Discussion,atheist,recorded for general public,About atheists,TRUE,TRUE,0.058816834,0.01955459,0.047630486,0.020618557,0,-0.095687735,0.004391667,0.074461497,0.003223469,0,2.333333333,0.000559019,0.003673321,,,About moderate Christians,TRUE,TRUE,0.060156138,0.025342464,0.003296621,0,0.007784855,0.02851505,-0.012901104,0.080688889,0,-0.013549495,Christians,,About nonreligious people,TRUE,TRUE,0.177777778,0,0.111111111,0,0,-0.409,0,-0.043861111,0,0
2007,Discussion,atheist,recorded for general public,About Christian fundamentalists,TRUE,FALSE,0.022335025,0.052941176,0.064304235,0,0.014012739,-0.011404545,0.014535556,0.06895087,0,-0.024389091,2.5,0.00072871,0.001308869,,,About atheists,FALSE,TRUE,0,0.0875,0.007417397,0,0,0,0.002907143,-0.18155,0,0,Atheists,,About nonreligious people,TRUE,TRUE,0,0.02020202,0.039458283,0.025641026,0.03,0,0.000403,-0.010428711,0.023096,-0.035748333
2007,Discussion,atheist,recorded for general public,About Christian preachers,FALSE,FALSE,0.049738639,0.030424799,0.018248175,0,0,0.034427599,0.003214151,-0.01103,0,0,1.333333333,0.000448907,0.000293904,,,About atheists,TRUE,TRUE,0.058816834,0.01955459,0.047630486,0.020618557,0,-0.095687735,0.004391667,0.074461497,0.003223469,0,Atheists,,About Christian preachers atheists,FALSE,FALSE,0,0,0.083333333,0.053105862,0,0,0,-0.192444444,0.079884028,0
2007,Discussion,atheist,recorded for general public,About Christian preachers,FALSE,TRUE,0,0.176470588,0,0,0,0,-0.373666667,0,0,0,2,0.006228374,0.027925356,,,About nonreligious people,FALSE,TRUE,0.097513321,0,0,0,0.132478632,0.113605556,0,0,0,-0.075662097,Atheists,,About Christian preachers atheists,TRUE,FALSE,0.053667204,0.047324601,0.01335919,0.045407911,0.006820765,0.056222212,0.045170336,-0.003391091,0.007469099,-0.001755379
2007,Discussion,atheist,recorded for general public,About Christian preachers,TRUE,FALSE,0.037461774,0,0,0.028557599,0,-0.01892551,0,0,0.030255932,0,1,0.000336802,0.00031198,,,About nonreligious people,TRUE,TRUE,0.177777778,0,0.111111111,0,0,-0.409,0,-0.043861111,0,0,Atheists,,About Christian preachers atheists,TRUE,TRUE,0.065837774,0.033283349,0.009731378,0.013169257,0.037937301,-0.046578042,-0.00171625,0.039863095,-0.0000117,-0.036974405
2007,Discussion,atheist,recorded for general public,About Christian preachers,TRUE,TRUE,0.118965716,0,0,0.078947368,0,-0.128071481,0,0,0.073981481,0,6,0.003137903,0.005322605,,,About nonreligious people,TRUE,TRUE,0,0.02020202,0.039458283,0.025641026,0.03,0,0.000403,-0.010428711,0.023096,-0.035748333,Atheists,,About nonreligious people,TRUE,TRUE,0.105544526,0.021276596,0,0,0,0.202987778,-0.020650667,0,0,0
2007,Discussion,atheist,recorded for general public,About Christian theologians,FALSE,FALSE,0.108247423,0,0,0,0,0.053533333,0,0,0,0,0.5,0.002343501,0.000573164,,,About Christian preachers atheists,TRUE,TRUE,0.065837774,0.033283349,0.009731378,0.013169257,0.037937301,-0.046578042,-0.00171625,0.039863095,-1.17E-05,-0.036974405,Atheists,,About Christian preachers atheists,FALSE,FALSE,0.13049232,0.034285714,0,0,0,0.094408189,0.08329,0,0,0
2007,Discussion,atheist,recorded for general public,About Christian theologians,TRUE,FALSE,0.054123711,0,0.072033898,0,0,-0.026766667,0,-0.041816176,0,0,0.666666667,0.001233778,0.000381081,,,About nonreligious people,TRUE,TRUE,0.105544526,0.021276596,0,0,0,0.202987778,-0.020650667,0,0,0,Atheists,,About Christian preachers atheists,TRUE,FALSE,0,0,0,0,0.222222222,0,0,0,0,-0.2415
2007,Discussion,atheist,recorded for general public,About Christian theologians,TRUE,TRUE,0.067955333,0.011820331,0.01877998,0,0.04050307,-0.071502531,-0.011472593,0.040405397,0,0.014749841,0.818181818,0.000720842,0.001734899,,,About atheists,TRUE,TRUE,0,0.249129257,0,0,0,0,0.278772692,0,0,0,Atheists,,About Christian preachers atheists,TRUE,TRUE,0.05879888,0,0.013378466,0.019721889,0.064152723,0.026802295,0,0.0170999,-0.013314665,0.011852889
